파일,Step,타이틀,CPT코드,이유,Action(앞80자)
2016/2016수능A_21.md,1,미분 가능성 조건을 활용한 삼차함수의 인수분해 구조 도출,12미적Ⅰ-02-02,"키워드 미매칭 (코드: 12미적Ⅰ-02-02, 키워드: 미분가능성, 연속성, 미분가능성, 연속성, 미분가능)",[12미적Ⅰ-02-02] 절댓값 함수가 $x=c$에서 미분 불가능하려면 $f(c)=0$이면서 $f'(c) \neq 0$이어야 합니다. 한 곳에서
2016/2016수능A_21.md,2,실근 범위 조건을 적용한 미지수 매개변수의 범위 확정,12미적Ⅰ-01-04,"키워드 미매칭 (코드: 12미적Ⅰ-01-04, 키워드: 연속함수의 성질, 중간값 정리, 최대최소 정리, 최대, 최소)","[12미적Ⅰ-01-04] 함수의 근인 $-1$과 $\alpha$ 중에서 구간 $[3, 5]$에 포함될 수 있는 유일한 근인 $\alpha$의 범"
2016/2016수능A_29.md,2,인수 정리로 이차함수 식을 구성하고 정적분 조건으로 계수를 결정하여 목표 함숫값 산출하기,10공수1-01-03,"키워드 미매칭 (코드: 10공수1-01-03, 키워드: 인수분해, 인수분해, 공통인수)",[10공수1-01-03] $f(x) = ax(x-2)$ 설정. $\int_0^2 f(x)dx = -\frac{4}{3}a = -4$ → $a=3
2016/2016수능A_30.md,2,직선과 곡선의 교점 조건을 활용한 영역 R의 대수적 영역 특정,12미적Ⅰ-02-07,"키워드 미매칭 (코드: 12미적Ⅰ-02-07, 키워드: 증가와 감소, 극대와 극소, 증가와 감소, 극대와 극소, 극대)","[12미적Ⅰ-02-07] 직선이 우하향하고 로그 곡선이 우상향하므로 각 구간당 교점은 최대 1개임을 파악하고, 특정 구간 $n$에서만 교점이 생"
2016/2016수능A_30.md,3,영역 내의 점과 고정점 사이의 거리 최솟값 산출 및 최종 수치 결정,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)","[10공수1-02-11] 점 $P(-20, 0)$에서 각 영역 $R_n$까지의 거리를 비교합니다. $k=-1$인 영역의 경계선 $a+10b=90"
2017/2017.6모나_04.md,2,만들어진 일차방정식을 풀어 목표값 알아내기,10공수1-02-09,"키워드 미매칭 (코드: 10공수1-02-09, 키워드: 연립일차부등식, 연립일차부등식, 부등식, 범위)",[10공수1-02-09] 상수항 $-3$ 을 이항하고 $2$ 로 나누어 미지수 $k$ 의 값을 확정
2017/2017.6모나_06.md,2,흩어진 식을 정리하고 차수를 맞춰 특정 계수 확정하기,10공수1-03-01,"키워드 미매칭 (코드: 10공수1-03-01, 키워드: 합의 법칙, 곱의 법칙, 경우의 수, 합의 법칙, 곱의 법칙)",[10공수1-03-01] 문자 $x$ 가 달려있는 지수들끼리만 덧셈으로 결합하여 그 총합이 타겟인 $2$ 가 되는 $r$ 방정식($6-2r=2$
2017/2017.6모나_07.md,2,정리된 수식에 원소 대입하고 남은 것들 합치기,10공수2-02-03,"키워드 미매칭 (코드: 10공수2-02-03, 키워드: 집합의 연산, 벤 다이어그램, 교집합, 합집합, 여집합)","[10공수2-02-03] 집합 $A$ 의 원소 중 집합 $B$ 의 원소와 공통되는 원소($1, 3$)를 제외하여 $A-B$ 를 구하고, 남은 원"
2017/2017.6모나_11.md,2,분류된 각 케이스에 대해 자연수의 분할 일일이 나열하여 노가다 집계하기,10공수1-03-01,"키워드 미매칭 (코드: 10공수1-03-01, 키워드: 합의 법칙, 곱의 법칙, 경우의 수, 합의 법칙, 곱의 법칙)",[10공수1-03-01] 중복이나 누락이 없도록 가장 큰 수부터 순차적으로 줄여나가며 $6$ 을 합으로 찢는 분할식을 작성하고 그 개수를 집계하
2017/2017.6모나_13.md,1,부등식을 정리하고 변수의 범위를 기준으로 성립 조건 파악하기,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)","[10공수1-02-11] 주어진 부등식을 $x > a-4$ 로 이항하여 정리한 뒤, 조건 $x>0$ 의 경곗값인 $0$ 이 부등식 우변의 값인 "
2017/2017.6모나_13.md,2,부등식 범위와 자연수 조건을 결합하여 해당하는 자연수의 개수 구하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)",[10공수1-02-03] 이전 단계에서 구한 $a \leq 4$ 와 '자연수'라는 조건을 결합하여 범위 내의 자연수를 찾아 개수를 계산
2017/2017.6모나_14.md,3,최종적으로 발생한 모든 경우의 수를 합산하여 결과물 도출하기,12확통03-02,"키워드 미매칭 (코드: 12확통03-02, 키워드: 기댓값, 표준편차, 이산확률변수, 기댓값, 분산)",[12확통03-02] 독립적으로 발생한 두 가지 케이스에서 파생된 조합의 개수들을 합의 법칙으로 단순 결합
2017/2017.6모나_15.md,2,원본 함수와 도착 함수를 비교하여 평행이동량과 계수를 알아내고 합산하여 최종값 산출하기,10공수2-03-02,"키워드 미매칭 (코드: 10공수2-03-02, 키워드: 합성함수, 합성함수)","[10공수2-03-02] 평행이동은 곡선의 개형을 나타내는 $x$ 의 계수 $a$ 를 변화시키지 않으므로 $a$ 를 확정하고, $x$ 대신 대입"
2017/2017.6모나_23.md,2,구해진 도함수에 특정 값을 대입하여 미분계수 도출하기,12미적Ⅰ-02-04,"키워드 미매칭 (코드: 12미적Ⅰ-02-04, 키워드: 미분법, 다항함수, 미분법, 곱의 미분, 다항함수)",[12미적Ⅰ-02-04] $f'(x)$ 의 식에 기호 안에 들어있는 $x=3$ 을 대입하고 산술 연산을 수행하여 미분계수의 단일 값을 산출
2017/2017.6모나_27.md,1,두 문제의 상황을 수식으로 정리하여 조건부 확률의 분모와 분자 구성하기,12확통02-04,"키워드 미매칭 (코드: 12확통02-04, 키워드: 조건부확률, 조건부확률, p(a|b), p(b|a))","[12확통02-04] 조건부 확률 공식에 따라 전체를 '흰색으로 같은 경우'와 '검은색으로 같은 경우'로 나누어 분모를 구성하고, 그중 '흰색으"
2017/2017.6모나_27.md,2,방정식 풀이를 통해 미지수 값 도출하기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)","[10공수1-02-03] $a$ 가 자연수이므로 분모와 분자에서 $a$ 를 약분하여 식을 간단히 한 뒤, 대각선으로 곱하여 일차방정식을 풀어냄"
2017/2017.6모나_28.md,2,구간 내의 양 끝점과 극점의 함숫값을 비교하여 미지수 도출하기,12미적Ⅰ-02-08,"키워드 미매칭 (코드: 12미적Ⅰ-02-08, 키워드: 그래프의 개형, 그래프의 개형, 개형, 오목, 볼록)","[12미적Ⅰ-02-08] 양 끝점($-a, a$)과 구간 내 극점($\frac{a}{3}$)의 함숫값을 각각 구하여 비교하고, 이 중 최솟값(극"
2017/2017.6모나_20.md,2,초기항으로부터 특정 시점까지의 누적된 변화량의 매개변수 식 전개,12대수03-04,"키워드 미매칭 (코드: 12대수03-04, 키워드: 시그마, 합의 기호, 시그마, ∑, \sum)","[12대수03-04] 앞서 도출한 주기적 변화량을 활용하여 $a_1$에서 $a_{13}$까지의 변화를 계산하고, 남은 항들을 개별적으로 합산합니"
2017/2017.6모나_20.md,3,주어진 특정 항의 결괏값을 연립하여 초기 변수의 수치적 값 결정,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)",[10공수1-02-11] 도출된 $a+4 = 43$이라는 일차방정식을 풀어 미지수 $a$의 값을 산출합니다.
2017/2017.6모나_21.md,2,극값의 위치 정보와 함숫값의 부호를 결합한 극값의 절댓값 크기 비교,12미적Ⅰ-02-08,"키워드 미매칭 (코드: 12미적Ⅰ-02-08, 키워드: 그래프의 개형, 그래프의 개형, 개형, 오목, 볼록)",[12미적Ⅰ-02-08] 극대값이 음수인 경우 모든 극값이 음수임을 이용하여 수직선상에서의 위치를 분석합니다.
2017/2017.6모나_21.md,4,대칭적 극값 조건을 만족하는 함숫값과 상수 함수 사이의 교점 개수 분석,12미적Ⅰ-02-09,"키워드 미매칭 (코드: 12미적Ⅰ-02-09, 키워드: 방정식과 부등식, 문제해결, 방정식과 부등식, 근의 개수, 실근의 개수)",[12미적Ⅰ-02-09] $f(0) = -f(2) = k (k>0)$인 대칭 상태의 $|f(x)|$ 그래프를 그리고 직선 $y=k$와의 교점을 
2017/2017.6모나_29.md,2,거리 함수들의 교점 탐색을 통한 최솟값 함수의 분기점 및 우위 영역 결정,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)",[10공수1-02-11] 각 구간($x<1$ 및 $x \geq 1$)에서 $h_A(x) = h_B(x)$가 되는 방정식을 풀어 거리의 우위가 바
2017/2017.6모나_30.md,3,거듭제곱 조건에 따른 정수 변수들의 존재 영역 탐색 및 후보군 산출,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)","[10공수1-02-11] 자연수 $k$를 $1, 2, 3, \dots$로 변화시키며, $n \leq 20$인 범위 내에서 조건을 만족하는 자연수"
2017/2017.6모나_30.md,4,특정 조건을 부합하는 변수 집합의 최종 합산 및 결정,12대수03-04,"키워드 미매칭 (코드: 12대수03-04, 키워드: 시그마, 합의 기호, 시그마, ∑, \sum)","[12대수03-04] 추출된 $n$ 값들 중 중복을 제거하고 총합을 구합니다. (상세 검증 시 $n=5, 6, 9, 10, 12, 13, 15,"
2017/2017.9모나_09.md,2,좌변과 나뉘어진 우변을 비교하여 원하는 위치의 항 값 소거 도출하기,12대수03-05,"키워드 미매칭 (코드: 12대수03-05, 키워드: 여러 가지 수열, 수열의 합, 계차수열, 군수열, 분수형)","[12대수03-05] 좌변의 첫째항부터 7항까지의 합과 우변의 첫째항부터 6항까지의 합 구조를 비교하여, 우변 항들을 좌변으로 이항 시 일괄 소"
2017/2017.9모나_12.md,1,조건 명제의 부정을 구하고 그에 따른 진리집합 역산하기,12확통03-02,"키워드 미매칭 (코드: 12확통03-02, 키워드: 기댓값, 표준편차, 이산확률변수, 기댓값, 분산)","[12확통03-02] 조건 $p: x(x-11) \geq 0$ 의 등호 포함 이상 기호($\geq$)를 부정하여, 등호를 제외한 미만 기호($<"
2017/2017.9모나_12.md,2,구해진 부등식의 범위 내에 속하는 정수 원소 찾아 개수 세기,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)",[10공수1-02-03] $0 < x < 11$ 구간 내에서 조건 '정수 $x$'에 속하는 자연수 후보군들을 확정짓고 그 개수를 계산
2017/2017.9모나_13.md,1,제한된 상황에 집중하여 표에서 조건부 확률의 수치 파악하기,12확통02-04,"키워드 미매칭 (코드: 12확통02-04, 키워드: 조건부확률, 조건부확률, p(a|b), p(b|a))","[12확통02-04] 조건문에 따라 전체 조사 인원 20명이 아닌 '남학생 합계' 줄만을 새로운 분모의 기준으로 삼고, 그 남학생들 중 '과목 "
2017/2017.9모나_13.md,2,추출한 수치를 확률의 분수 꼴로 완성하기,12확통02-04,"키워드 미매칭 (코드: 12확통02-04, 키워드: 조건부확률, 조건부확률, p(a|b), p(b|a))",[12확통02-04] $\frac{\text{남학생이면서 B를 선택한 인원}}{\text{전체 남학생 인원}}$ 공식에 추출 값 대입
2017/2017.9모나_20.md,1,도함수의 함숫값 대칭성을 활용한 도함수 식 구성 및 대칭축 산출,12미적Ⅰ-02-07,"키워드 미매칭 (코드: 12미적Ⅰ-02-07, 키워드: 증가와 감소, 극대와 극소, 증가와 감소, 극대와 극소, 극대)","[12미적Ⅰ-02-07] 삼차함수의 도함수인 이차함수가 두 지점에서 같은 값을 가짐을 이용하여, 포물선의 대칭축이 두 지점의 중점인 $x=0$임"
2017/2017.9모나_20.md,2,함수의 증감 상태와 극값 정보를 이용한 삼차함수의 그래프 특징 분석,12미적Ⅰ-02-08,"키워드 미매칭 (코드: 12미적Ⅰ-02-08, 키워드: 그래프의 개형, 그래프의 개형, 개형, 오목, 볼록)","[12미적Ⅰ-02-08] 도함수에 $x=-2$를 대입하여 $12a+b=0 \implies b=-12a$ 관계를 얻고, $x=-2$에서 부호가 양"
2017/2017.9모나_21.md,1,고차다항함수의 인수 분해 구조와 실근의 개수 조건을 결합한 함수 형태의 추론,10공수1-01-02,"키워드 미매칭 (코드: 10공수1-01-02, 키워드: 항등식, 나머지정리, 나머지정리, 인수정리, 나머지)","[10공수1-01-02] 실근이 3개인 사차함수는 어느 한 근이 중근임을 파악하고, $f(x) = a(x-0)(x-2)(x-3)(x-c)$ ($"
2017/2017.9모나_21.md,3,중근의 위치에 따른 도함수의 대수적 특성을 반영한 계수의 임계값 산출,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)","[10공수1-02-11] 세 가지 케이스에 대해 각각 미분계수를 계산하고, $a$의 범위를 결정합니다."
2017/2017.9모나_21.md,4,도출된 계수의 범위를 적용한 특정 지점에서의 함숫값 상한선 결정,12대수01-04,"키워드 미매칭 (코드: 12대수01-04, 키워드: 로그의 뜻, 로그의 성질, 로그, log, 상용로그)",[12대수01-04] $a$의 최솟값(절댓값이 가장 큰 값)을 대입하여 $f(1)$을 극대화합니다.
2017/2017.9모나_28.md,2,변수 대치와 선형 가중치를 반영한 피적분 함수의 대수적 전개,10공수1-01-03,"키워드 미매칭 (코드: 10공수1-01-03, 키워드: 인수분해, 인수분해, 공통인수)",[10공수1-01-03] 주어진 $f(x) = 4x^2 + 6x + 32$에 $x$를 곱하여 다항식의 일반형으로 전개합니다.
2017/2017.9모나_29.md,3,극소 지점에서의 정적분 값을 분수 계산으로 도출하고 기약분수 분모분자 합산하기,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)","[10공수1-02-11] $I(3)$을 계산하여 기약분수 $\frac{q}{p}$ 형태인 $\frac{37}{6}$을 얻고, $p+q$를 계산합"
2017/2017.9모나_30.md,1,정수 꼭짓점 사각형의 기하학적 분류와 변의 길이에 따른 유효 후보군 추출,10공수1-01-01,"키워드 미매칭 (코드: 10공수1-01-01, 키워드: 다항식, 사칙연산, 전개, 곱셈공식)",[10공수1-01-01] 변의 길이의 제곱($s^2$)이 정수여야 함을 이용하여 가능한 모든 정사각형의 형태(기본형 및 회전형)를 분류합니다.
2017/2017.9모나_30.md,3,탐색 범위 확장에 따른 유효 형상의 누적 개수를 나타내는 이산적 함수 수식화,10공수1-03-01,"키워드 미매칭 (코드: 10공수1-03-01, 키워드: 합의 법칙, 곱의 법칙, 경우의 수, 합의 법칙, 곱의 법칙)",[10공수1-03-01] $n$의 범위에 따라 새롭게 추가되는 사각형 유형들을 반영하여 $f(n)$을 $n$에 관한 일차식들의 합으로 표현합니다
2017/2017.9모나_30.md,4,누적 개수 함수와 목표 상수 사이의 대소 관계 분석을 통한 최대 탐색 범위 결정,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)","[10공수1-02-11] $f(n)$이 400에 근접하는 $n$의 범위를 추정하고, 해당 구간에서의 증가율을 고려하여 정확한 최댓값을 계산합니다"
2017/2017수능나_13.md,1,조건부 확률로 B 선택 남학생 수 결정 후 여학생 수 산출,12확통02-04,"키워드 미매칭 (코드: 12확통02-04, 키워드: 조건부확률, 조건부확률, p(a|b), p(b|a))",[12확통02-04] B선택 총원=360-160=200명. P(남|B)=m/200=2/5 → m=80. B선택 여학생=120명. 전체 여학생=7
2017/2017수능나_19.md,1,대각선·직선 이동의 조합으로 최소·최대 점프 횟수 범위를 결정하기,12확통01-01,"키워드 미매칭 (코드: 12확통01-01, 키워드: 중복순열, 같은 것이 있는 순열, 중복순열, 같은 것이 있는 순열, 원순열)","[12확통01-01] 대각선 최대 min(4,3)=3번, x이동 1번 → 최소 k=4. 최대 4+3=7=k+3 ✓"
2017/2017수능나_19.md,2,이동 종류별 횟수 배분과 다항계수로 특정 점프 수의 경우의 수 계산하기,12확통01-01,"키워드 미매칭 (코드: 12확통01-01, 키워드: 중복순열, 같은 것이 있는 순열, 중복순열, 같은 것이 있는 순열, 원순열)","[12확통01-01] X=6: 대각선 1, x이동 3, y이동 2 (x합=4, y합=3 ✓). 순열 수 $=\dfrac{6!}{1!\,3!\,2"
2017/2017수능나_19.md,3,모든 경우의 합산으로 전체 경우의 수를 확정하여 빈칸의 세 값의 합 산출하기,12확통01-01,"키워드 미매칭 (코드: 12확통01-01, 키워드: 중복순열, 같은 것이 있는 순열, 중복순열, 같은 것이 있는 순열, 원순열)",[12확통01-01] $N=4+30+60+35=129$. 검증: $\mathrm{E}(X)=\dfrac{4\cdot4+5\cdot30+6\cdo
2017/2017수능나_20.md,2,함수의 증감 상태와 정적분 정의를 결합한 특정 지점의 함숫값 산출,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)",[10공수1-02-11] 두 식이 모든 $t>k$에 대해 같아야 함을 이용하여 미지수 $f(k)$의 수치적 값을 도출합니다.
2017/2017수능나_20.md,3,모든 변수 영역에서의 부등식 성립 조건을 활용한 매개변수 범위의 제약,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)","[10공수1-02-03] 만약 $k > 1$이라면 $t \in (1, k]$ 구간에서 도함수가 항상 음수이므로 다른 형태의 식이 성립함을 보이고"
2017/2017수능나_20.md,4,도출된 임계점의 특성과 정적분 수치를 활용한 종합적 진위 판별,12미적Ⅰ-03-04,"키워드 미매칭 (코드: 12미적Ⅰ-03-04, 키워드: 부정적분과 정적분의 관계, 부정적분과 정적분, 미적분의 기본정리, 기본정리, 정적분으로 정의된)","[12미적Ⅰ-03-04] 정적분의 기본 정리를 이용하여 해당 값을 $f(k) - f(0)$으로 계산하고, 극대/극소의 대소 관계를 적용합니다."
2017/2017수능나_21.md,1,평면 영역 분할 조건하에서의 대칭적 격자점 분포와 개수 차이의 수치적 구조 분석,10공수1-03-01,"키워드 미매칭 (코드: 10공수1-03-01, 키워드: 합의 법칙, 곱의 법칙, 경우의 수, 합의 법칙, 곱의 법칙)","[10공수1-03-01] 원의 내부 격자점 집합이 중심 $(n, f(n))$에 대해 대칭임을 활용하여, 차이값 $A_n - B_n$을 각 열($"
2017/2017수능나_21.md,3,곡선의 굴곡이 변화하는 비선형 구간에서의 격자점별 위치 관계 분석 및 직접 합산,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)","[10공수1-02-11] 각 $n$에 대하여 $x=n \pm 1, n \pm 2$에서의 $f(x)$ 값과 정수 $y$ 좌표들의 대소 관계를 하나"
2017/2017수능나_22.md,1,순열 공식과 조합 공식을 각각 적용하여 두 값의 합 계산하기,12확통01-01,"키워드 미매칭 (코드: 12확통01-01, 키워드: 중복순열, 같은 것이 있는 순열, 중복순열, 같은 것이 있는 순열, 원순열)","[12확통01-01] $_5P_2=5\times4=20$, $_5C_2=\dfrac{5\times4}{2}=10$. 합$=30$"
2017/2017수능나_26.md,1,"수직 조건으로 접선 기울기 결정 후 a, b 산출",12미적Ⅰ-02-02,"키워드 미매칭 (코드: 12미적Ⅰ-02-02, 키워드: 미분가능성, 연속성, 미분가능성, 연속성, 미분가능)",[12미적Ⅰ-02-02] 접선 기울기: $-\dfrac{1}{2}\cdot m=-1$ → $m=2$. $f'(1)=3-a=2$ → $a=1$. 
2017/2017수능나_27.md,1,지수를 2의 거듭제곱으로 통일하여 8의 배수 조건을 지수 부등식으로 변환하기,12대수01-03,"키워드 미매칭 (코드: 12대수01-03, 키워드: 지수법칙의 활용, 밑의 조건, 지수법칙, 지수방정식, 지수부등식)",[12대수01-03] $2^a\times4^b=2^{a+2b}$. 8의 배수 ↔ $a+2b\geq3$
2017/2017수능나_29.md,2,이산적 수 체계 조건을 적용한 모집단 매개변수의 유일한 수치 확정,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)",[10공수1-02-11] 앞서 구한 범위 $13.5 < m < 15$를 만족하는 자연수를 탐색합니다.
2017/2017수능나_30.md,2,이차식의 완전제곱 형태 변환을 통한 x와 g(x) 사이의 함수적 대응 관계 분석,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)","[10공수1-02-03] 각 변에 $1$을 더해 $(2x-1)^2 = (t-1)^2$ 꼴로 변형한 후, 절댓값을 풀어 $t$를 $x$에 대한 일"
2017/2017수능나_30.md,3,특정 정의역 구간에서의 치역 분석을 통한 실근 존재를 보장하는 매개변수 영역의 탐색,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)","[10공수1-02-11] 두 케이스에 대해 $k$를 $x$에 대한 함수로 정리하고, $x \in [0, 1]$에서의 치역(Range)을 각각 구"
2017/2017수능나_30.md,4,결정된 매개변수의 임계 상태를 활용한 최종 결과의 대수적 계산,12대수01-04,"키워드 미매칭 (코드: 12대수01-04, 키워드: 로그의 뜻, 로그의 성질, 로그, log, 상용로그)",[12대수01-04] 최솟값 $m = -8$과 최댓값 $M = 1$을 각각 제곱하여 합산합니다.
2018/2018.6모나_02.md,1,차집합의 정의를 이용하여 공통원소를 제외하고 원소의 합 구하기,10공수2-02-03,"키워드 미매칭 (코드: 10공수2-02-03, 키워드: 집합의 연산, 벤 다이어그램, 교집합, 합집합, 여집합)",[10공수2-02-03] 집합 $A$ 의 원소 중 집합 $B$ 에 속하는 원소를 제외하여 집합 $A-B$ 를 구하고 원소들의 합 계산
2018/2018.6모나_19.md,3,자연수 조건에서 약수 관계를 분석하여 유일한 해를 탐색하기,9수01-02,"키워드 미매칭 (코드: 9수01-02, 키워드: 최대공약수, 최소공배수, gcd, lcm)","[9수01-02] 미정 $a$ 가 자연수가 되기 위해서는 분수의 분모 값이 분자의 약수가 되어야 하는 논리를 바탕으로, 제약조건인 $n\geq4"
2018/2018.6모나_07.md,1,경유지를 기준으로 구간을 분리하여 최단경로 수를 곱의 법칙으로 산출하기,12확통01-01,"키워드 미매칭 (코드: 12확통01-01, 키워드: 중복순열, 같은 것이 있는 순열, 중복순열, 같은 것이 있는 순열, 원순열)","[12확통01-01] 격자: 가로 5칸, 세로 3칸. A=(0,0), P=(2,2), B=(5,3). A→P: 오른쪽 2번, 위 2번 총 4걸음"
2018/2018.6모나_20.md,3,평행한 두 접선 사이의 수평 간격과 높이를 결합한 평면 영역의 넓이 수식화,10공수1-01-03,"키워드 미매칭 (코드: 10공수1-01-03, 키워드: 인수분해, 인수분해, 공통인수)","[10공수1-01-03] 두 접선의 방정식을 각각 세워 동일한 $y$ 높이에서의 $x$ 좌표 차이(밑변의 길이 $W$)를 구하고, 넓이 공식 $"
2018/2018.6모나_20.md,4,정량화된 넓이 수치와 대수적 표현식의 일치를 통한 미지수의 수치 결정,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)",[10공수1-02-11] $\frac{128}{27}k^4 = 24$ 방정식을 정리하여 양수 $k$의 값을 직접 계산합니다.
2018/2018.6모나_21.md,3,매개변수 변화에 따른 격자점별 부등식 만족 여부의 임계 상태 분석,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)","[10공수1-02-11] 각 $x$별로 $|f(x)|$가 정수 값을 가질 때의 $k$를 구하여, 해당 $k$ 범위에서 부등식을 만족하는 $y$의"
2018/2018.6모나_21.md,4,격자점 총개수 조건을 만족하는 매개변수의 범위 결정 및 자연수 개수 산출,12미적Ⅰ-02-09,"키워드 미매칭 (코드: 12미적Ⅰ-02-09, 키워드: 방정식과 부등식, 문제해결, 방정식과 부등식, 근의 개수, 실근의 개수)",[12미적Ⅰ-02-09] 각 $x$별 유효 순서쌍의 합인 $N(k)$가 $2 \leq N(k) \leq 4$를 만족하는 자연수 $k$의 영역을 
2018/2018.6모나_29.md,2,수열의 특정 값 일치 조건을 활용한 초기항과 변화율 사이의 대칭적 관계 수식화,10공수1-02-03,"키워드 미매칭 (코드: 10공수1-02-03, 키워드: 근과 계수의 관계, 근과 계수, 비에타, 두 근의 합, 두 근의 곱)","[10공수1-02-03] $4a + 15d = a + 9d$라는 방정식을 세우고, $a$와 $d$ 사이의 대수적 관계를 산출합니다."
2018/2018.6모나_29.md,3,단일 변수로 대치된 수열의 표현식을 이용한 두 항 사이의 상대적 비율 산출,12대수03-04,"키워드 미매칭 (코드: 12대수03-04, 키워드: 시그마, 합의 기호, 시그마, ∑, \sum)",[12대수03-04] $b_8 = 4a + 14d$ 및 $b_{10} = a + 9d$ 식에 $a = -2d$를 대입하여 수치적으로 계산합니다.
2018/2018.6모나_29.md,4,서로소 조건 확인 후 분자 분모의 합산을 통한 최종 결과 산출,10공수1-02-11,"키워드 미매칭 (코드: 10공수1-02-11, 키워드: 이차부등식, 연립이차부등식, 이차부등식, 연립이차부등식)",[10공수1-02-11] 분모 $p=7$과 분자 $q=6$을 합산하여 최종 결과를 산출합니다.
2018/2018.6모나_30.md,1,두 함수의 교점 정보와 미분 가능성을 활용한 차함수의 대수적 인수분해,10공수1-01-02,"키워드 미매칭 (코드: 10공수1-01-02, 키워드: 항등식, 나머지정리, 나머지정리, 인수정리, 나머지)",[10공수1-01-02] 두 함수의 함숫값과 미분계수가 같은 지점을 이용하여 차함수 $h(x) = f(x) - g(x)$의 인수를 결정합니다.
2018/2018.6모나_30.md,2,도함수의 영점 조건과 차함수의 고차 인수를 통한 근 사이의 대수적 관계 도출,12미적Ⅰ-02-04,"키워드 미매칭 (코드: 12미적Ⅰ-02-04, 키워드: 미분법, 다항함수, 미분법, 곱의 미분, 다항함수)","[12미적Ⅰ-02-04] $h'(\beta) = 0$임을 이용하고, $h(x)$를 미분한 식에 $x=\beta$를 대입하여 근 사이의 관계를 파"
2018/2018.6모나_30.md,3,이차함수와 도함수의 함숫값 차이를 이용한 매개변수 간의 수치적 분석,12미적Ⅰ-02-05,"키워드 미매칭 (코드: 12미적Ⅰ-02-05, 키워드: 접선의 기울기, 접선의 방정식, 접선의 기울기, 접선의 방정식, 접선)",[12미적Ⅰ-02-05] 이차함수의 도함수가 일차함수라는 성질을 활용하여 두 지점 사이의 거리를 계산합니다.
2018/2018.6모나_30.md,4,매개변수 관계식을 차함수에 대입하여 특정 지점에서의 두 함수의 편차 산출하기,10공수1-01-03,"키워드 미매칭 (코드: 10공수1-01-03, 키워드: 인수분해, 인수분해, 공통인수)","[10공수1-01-03] 구하는 식이 $-h(\beta+1)$과 같음을 파악하고, 앞서 구한 $k = \alpha + 32/3$와 $\beta "
2018/2018.9모나_27.md,2,표준정규분포표와 대조하여 부등식을 풀고 표본 크기 최솟값을 산출하기,12확통03-07,"키워드 미매칭 (코드: 12확통03-07, 키워드: 모평균 추정, 모비율 추정, 공학 도구 활용, 모평균 추정, 모비율 추정)","[12확통03-07] 부등식을 $\mathrm{P}(0 \leq Z \leq 0.2\sqrt{n}) \geq 0.3413$ 으로 변환하고, 표준"
